Date,SPX,GLD,USO,SLV,EUR/USD
01-02-2008,1447,84.860001,78,15,1.47
01-03-2008,1447,85.57,78,15,1.47
01-04-2008,1412,85.129997,77,15,1.48
01-07-2008,1416,84.769997,76,15,1.47
01-08-2008,1390,86.779999,76,16,1.56
01-09-2008,1409,86.550003,75,16,1.47
01-10-2008,1420,88.25,74,16,1.48
01-11-2008,1401,88.580002,73,16,1.48
1/14/2008,1416,89.540001,74,16,1.49
1/15/2008,1381,87.989998,73,16,1.48
1/16/2008,1373,86.699997,72,16,1.47
1/17/2008,1333,86.5,71,16,1.46
1/18/2008,1325,87.419998,72,16,1.46
1/22/2008,1311,88.169998,71,16,1.46
1/23/2008,1339,87.889999,70,16,1.46
1/24/2008,1352,90.080002,71,16,1.48
1/25/2008,1331,90.300003,72,16,1.47
1/28/2008,1354,91.75,72,17,1.48
1/29/2008,1362,91.150002,73,17,1.48
1/30/2008,1356,92.059998,73,17,1.48
1/31/2008,1379,91.400002,72,17,1.49
02-01-2008,1395,89.349998,70,17,1.48
02-04-2008,1381,89.099998,71,17,1.48
02-05-2008,1337,87.68,70,16,1.46
02-06-2008,1326,88.949997,69,16,1.46
02-07-2008,1337,89.849998,70,17,1.45
02-08-2008,1331,91,73,17,1.56
02-11-2008,1339,91.330002,75,17,1.45
02-12-2008,1349,89.330002,74,17,1.46
2/13/2008,1367,89.440002,74,17,1.46
2/14/2008,1349,89.709999,76,17,1.46
2/15/2008,1350,89.150002,76,17,1.47
2/19/2008,1349,91.580002,79,17,1.47
2/20/2008,1360,93.239998,79,18,1.47
2/21/2008,1343,93.25,77,18,1.48
2/22/2008,1353,93.389999,79,18,1.48
2/25/2008,1372,92.739998,79,18,1.48
2/26/2008,1381,93.709999,80,19,1.50
2/27/2008,1380,94.779999,79,19,1.51
2/28/2008,1368,95.989998,81,20,1.52
2/29/2008,1331,96.18,80,20,1.52
03-03-2008,1331,97.239998,81,20,1.52
03-04-2008,1327,95.18,79,20,1.52
03-05-2008,1334,97.720001,83,21,1.53
03-06-2008,1304,96.5,84,20,1.54
03-07-2008,1293,96.089996,84,20,1.53
03-10-2008,1273,95.870003,86,19,1.53
03-11-2008,1321,95.989998,86,20,1.53
03-12-2008,1309,97.010002,87,20,1.55
3/13/2008,1315,98.339996,87,20,1.56
3/14/2008,1288,98.709999,87,20,1.56
3/17/2008,1277,99.169998,83,20,1.57
3/18/2008,1331,96.5,86,19,1.57
3/19/2008,1298,93.040001,82,18,1.56
3/20/2008,1330,89.910004,81,17,1.54
3/24/2008,1350,90.099998,80,17,1.54
3/25/2008,1353,92.730003,81,18,1.56
3/26/2008,1341,93.800003,85,18,1.58
3/27/2008,1326,93.459999,86,18,1.58
3/28/2008,1315,91.879997,84,18,1.58
04-01-2008,1370,86.860001,81,17,1.57
04-02-2008,1368,89.269997,84,17,1.57
04-03-2008,1369,89.419998,84,17,1.57
04-07-2008,1373,91.169998,87,18,1.56
04-08-2008,1366,90.349998,87,18,1.58
04-09-2008,1354,92.290001,89,18,1.57
04-10-2008,1361,91.769997,88,18,1.58
4/14/2008,1328,91.110001,90,18,1.58
4/15/2008,1334,91.660004,91,18,1.60
4/16/2008,1365,93.269997,92,18,1.59
4/17/2008,1366,92.559998,92,18,1.57
4/21/2008,1388,90.25,94,17,1.60
4/22/2008,1376,90.269997,95,17,1.59
4/23/2008,1380,89.220001,95,17,1.57
